0 -0.000687531 0 0 0 0 0.200976
0.01 0.00260105 0 0.00295646 0 0.00200976 0.309676
0.02 0.00897166 2.95646e-05 -0.00112049 2.0098e-05 0.00508646 -0.411205
0.03 0.001108 1.83597e-05 -0.00488902 7.09628e-05 0.000923366 -0.378521
0.04 0.00656511 -3.05305e-05 -0.00619286 8.02001e-05 -0.00287163 -0.151693
0.05 -0.00210686 -9.24591e-05 -0.00686207 5.14812e-05 -0.00436074 -0.078038
0.06 -0.00746063 -0.00016108 -0.00484482 7.85793e-06 -0.00509845 0.199805
0.07 -0.00313744 -0.000209528 -0.00904271 -4.31374e-05 -0.00304973 -0.433616
0.08 -0.0113954 -0.000299955 -0.0081538 -7.36952e-05 -0.00735614 0.0874823
0.09 -0.0124682 -0.000381493 -0.00679851 -0.000147352 -0.00640865 0.142966
0.1 0.00412145 -0.000449478 -0.00178259 -0.000211392 -0.00491272 0.490603
0.11 0.00325539 -0.000467304 -0.00369404 -0.000260469 4.52516e-05 -0.204282
0.12 0.00928636 -0.000504244 -0.00570092 -0.000259837 -0.00199316 -0.228663
0.13 0.00545731 -0.000561254 -0.00991105 -0.000279632 -0.00425568 -0.430344
0.14 0.0106754 -0.000660364 -0.00512719 -0.000321861 -0.00851027 0.449639
0.15 -0.00709215 -0.000711636 -0.00620734 -0.000407209 -0.00392799 -0.117825
0.16 0.000285849 -0.00077371 -0.00800072 -0.000446456 -0.00506258 -0.17729
0.17 -0.0102397 -0.000853717 -0.00310303 -0.000497601 -0.00678487 0.488366
0.18 -0.00331164 -0.000884747 0.000419966 -0.000565622 -0.0018298 0.342522
0.19 -0.00179813 -0.000880547 -0.0020042 -0.00058401 0.00161869 -0.224686
0.2 -0.00754486 -0.000900589 -0.000985718 -0.000568422 -0.000642861 0.0966266
0.21 -0.00839211 -0.000910446 -0.000502945 -0.000575624 0.0003302 0.0564203
0.22 -0.00401232 -0.000915476 0.00292521 -0.000572711 0.000894311 0.347908
0.23 0.000434166 -0.000886224 -0.000265855 -0.00056364 0.00437098 -0.315376
